Center,Model,historical_Variant,Grid,historical_Version
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,v20191115
CMCC,CMCC-ESM2,r1i1p1f1,gn,v20210114
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,v20181206
CCCma,CanESM5,r1i1p1f1,gn,v20190429
CCCma,CanESM5-1,r1i1p1f1,gn,v20190429
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr,v20190726
IPSL,IPSL-CM6A-LR,r1i1p1f1,gn,v20180803
IPSL,IPSL-CM6A-LR-INCA,r1i1p1f1,gn,v20210216
MIROC,MIROC-ES2L,r1i1p1f2,gr1,v20200731
HAMMOZ-Consortium,MPI-ESM-1-2-HAM,r1i1p1f1,gn,v20190627
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,v20190710
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,v20190710
NCC,NorESM2-LM,r1i1p1f1,gn,v20191108
NCC,NorESM2-MM,r1i1p1f1,gn,v20191108
