Center,Model,ssp585_Variant,Grid,ssp585_Version,historical_Variant,historical_Version
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,v20210318,r1i1p1f1,v20191115
CMCC,CMCC-ESM2,r1i1p1f1,gn,v20210126,r1i1p1f1,v20210114
CCCma,CanESM5,r1i1p1f1,gn,v20190429,r1i1p1f1,v20190429
CCCma,CanESM5-1,r1i1p1f1,gn,v20190429,r1i1p1f1,v20190429
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr,v20180701,r1i1p1f1,v20190726
MIROC,MIROC-ES2L,r1i1p1f2,gr1,v20200731,r1i1p1f2,v20200731
DKRZ,MPI-ESM1-2-HR,r1i1p1f1,gn,v20190710,r1i1p1f1,v20190710
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,v20190710,r1i1p1f1,v20190710
NCC,NorESM2-LM,r1i1p1f1,gn,v20191108,r1i1p1f1,v20191108
NCC,NorESM2-MM,r1i1p1f1,gn,v20230616,r1i1p1f1,v20191108
