Center,Model,historical_Variant,Grid,historical_Version
NCAR,CESM2,r1i1p1f1,gr,v20190308
NCAR,CESM2-FV2,r1i1p1f1,gr,v20191120
NCAR,CESM2-WACCM,r1i1p1f1,gr,v20190808
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gr,v20191120
CMCC,CMCC-ESM2,r1i1p1f1,gn,v20210114
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr,v20190726
NASA-GISS,GISS-E2-1-G-CC,r1i1p1f1,gn,v20190815
IPSL,IPSL-CM6A-LR-INCA,r1i1p1f1,gn,v20210216
MIROC,MIROC-ES2L,r1i1p1f2,gr1,v20200731
NCC,NorESM2-LM,r1i1p1f1,gr,v20191108
NCC,NorESM2-MM,r1i1p1f1,gr,v20191108
MOHC,UKESM1-0-LL,r1i1p1f2,gn,v20210510
