Center,Model,ssp119_Variant,Grid,ssp119_Version,historical_Variant,historical_Version,piControl_Variant,piControl_Version
CAMS,CAMS-CSM1-0,r1i1p1f1,gn,v20190708,r1i1p1f1,v20190708,r1i1p1f1,v20190729
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,v20190328,r1i1p1f2,v20181206,r1i1p1f2,v20181115
CCCma,CanESM5,r1i1p1f1,gn,v20190429,r1i1p1f1,v20190429,r1i1p1f1,v20190429
EC-Earth-Consortium,EC-Earth3,r4i1p1f1,gr,v20200425,r4i1p1f1,v20200425,r1i1p1f1,v20200312
EC-Earth-Consortium,EC-Earth3-Veg,r1i1p1f1,gr,v20200226,r1i1p1f1,v20200225,r1i1p1f1,v20200226
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,v20201201,r1i1p1f1,v20200217,r1i1p1f1,v20200213
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,v20180701,r1i1p1f1,v20190726,r1i1p1f1,v20180701
NASA-GISS,GISS-E2-1-G,r1i1p1f2,gn,v20200115,r1i1p1f2,v20190903,r1i1p1f1,v20180824
NASA-GISS,GISS-E2-1-H,r1i1p1f2,gn,v20201215,r1i1p1f2,v20191003,r1i1p1f1,v20190410
IPSL,IPSL-CM6A-LR,r1i1p1f1,gr,v20190410,r1i1p1f1,v20180803,r1i1p1f1,v20200326
MIROC,MIROC-ES2L,r1i1p1f2,gn,v20190823,r1i1p1f2,v20190823,r1i1p1f2,v20190823
MIROC,MIROC6,r1i1p1f1,gn,v20190807,r1i1p1f1,v20181212,r1i1p1f1,v20181212
MRI,MRI-ESM2-0,r1i1p1f1,gn,v20190222,r1i1p1f1,v20190222,r1i1p1f1,v20190222
MOHC,UKESM1-0-LL,r1i1p1f2,gn,v20190830,r1i1p1f2,v20190406,r1i1p1f2,v20200828
