Center,Model,historical_Variant,Grid,historical_Version,piControl_Variant,piControl_Version
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,v20191108,r1i1p1f1,v20191112
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,v20191115,r1i1p1f1,v20210316
AWI,AWI-CM-1-1-MR,r1i1p1f1,gn,v20200511,r1i1p1f1,v20191015
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,v20200212,r1i1p1f1,v20200212
BCC,BCC-CSM2-MR,r1i1p1f1,gn,v20181126,r1i1p1f1,v20181016
BCC,BCC-ESM1,r1i1p1f1,gn,v20181214,r1i1p1f1,v20181214
CAMS,CAMS-CSM1-0,r1i1p1f1,gn,v20190708,r1i1p1f1,v20190729
CAS,CAS-ESM2-0,r1i1p1f1,gn,v20201227,r1i1p1f1,v20201228
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,v20200616,r1i1p1f1,v20200616
CMCC,CMCC-ESM2,r1i1p1f1,gn,v20210114,r1i1p1f1,v20210304
CNRM-CERFACS,CNRM-CM6-1,r1i1p1f2,gr,v20180917,r1i1p1f2,v20180814
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gr,v20191021,r1i1p1f2,v20191021
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gr,v20181206,r1i1p1f2,v20181115
CCCma,CanESM5,r1i1p1f1,gn,v20190429,r1i1p1f1,v20190429
CCCma,CanESM5-CanOE,r1i1p2f1,gn,v20190429,r1i1p2f1,v20190429
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gr,v20200310,r1i1p1f1,v20200312
EC-Earth-Consortium,EC-Earth3-AerChem,r1i1p1f1,gr,v20200624,r1i1p1f1,v20200821
EC-Earth-Consortium,EC-Earth3-CC,r1i1p1f1,gr,v20210113,r1i1p1f1,v20210330
EC-Earth-Consortium,EC-Earth3-Veg,r1i1p1f1,gr,v20200225,r1i1p1f1,v20200226
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gr,v20200217,r1i1p1f1,v20200213
CAS,FGOALS-f3-L,r1i1p1f1,gr,v20190927,r1i1p1f1,v20191029
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr1,v20180701,r1i1p1f1,v20180701
NOAA-GFDL,GFDL-ESM4,r1i1p1f1,gr1,v20190726,r1i1p1f1,v20180701
NASA-GISS,GISS-E2-1-G,r1i1p1f1,gn,v20180827,r1i1p1f1,v20180824
NASA-GISS,GISS-E2-1-G-CC,r1i1p1f1,gn,v20190815,r1i1p1f1,v20190815
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gn,v20190403,r1i1p1f1,v20190410
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,v20190624,r1i1p1f1,v20190628
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,v20191207,r1i1p1f1,v20190920
MPI-M,ICON-ESM-LR,r1i1p1f1,gn,v20210215,r1i1p1f1,v20210215
CCCR-IITM,IITM-ESM,r1i1p1f1,gn,v20191226,r1i1p1f1,v20191120
INM,INM-CM4-8,r1i1p1f1,gr1,v20190530,r1i1p1f1,v20190605
INM,INM-CM5-0,r1i1p1f1,gr1,v20190610,r1i1p1f1,v20190619
IPSL,IPSL-CM5A2-INCA,r1i1p1f1,gr,v20200729,r1i1p1f1,v20210216
IPSL,IPSL-CM6A-LR,r1i1p1f1,gr,v20180803,r1i1p1f1,v20200326
NIMS-KMA,KACE-1-0-G,r1i1p1f1,gr,v20190910,r1i1p1f1,v20191017
KIOST,KIOST-ESM,r1i1p1f1,gr1,v20210601,r1i1p1f1,v20210329
UA,MCM-UA-1-0,r1i1p1f1,gn,v20190731,r1i1p1f1,v20190731
MIROC,MIROC-ES2H,r1i1p1f2,gn,v20210125,r1i1p1f2,v20210125
MIROC,MIROC-ES2L,r1i1p1f2,gn,v20190823,r1i1p1f2,v20190823
MIROC,MIROC6,r1i1p1f1,gn,v20181212,r1i1p1f1,v20181212
HAMMOZ-Consortium,MPI-ESM-1-2-HAM,r1i1p1f1,gn,v20190627,r1i1p1f1,v20200120
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,v20190710,r1i1p1f1,v20190710
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,v20190710,r1i1p1f1,v20190710
MRI,MRI-ESM2-0,r1i1p1f1,gn,v20190222,r1i1p1f1,v20190222
NUIST,NESM3,r1i1p1f1,gn,v20190630,r1i1p1f1,v20190708
NCC,NorCPM1,r1i1p1f1,gn,v20200724,r1i1p1f1,v20190914
MOHC,UKESM1-0-LL,r1i1p1f2,gn,v20190406,r1i1p1f2,v20200828
