Center;Model;historical_Variant;Grid;historical_Version;piControl_Variant;piControl_Version
IPSL;IPSL-CM6A-LR;r1i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r2i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r3i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r4i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r5i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r6i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r7i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r8i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r9i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r10i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r11i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r12i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r13i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r14i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r15i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r16i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r17i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r18i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r19i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r20i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r21i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r22i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r23i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r24i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r25i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r26i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r27i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r28i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r29i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r30i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r31i1p1f1;gn;v20180803;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r32i1p1f1;gn;v20190802;r1i1p1f1;v20200326
IPSL;IPSL-CM6A-LR;r33i1p1f1;gn;v20211229;r1i1p1f1;v20200326
