Center,Model,historical_Variant,Grid,historical_Version,piControl_Variant,piControl_Version
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,v20191108,r1i1p1f1,v20191112
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,v20191115,r1i1p1f1,v20191214
AWI,AWI-CM-1-1-MR,r1i1p1f1,gn,v20181218,r1i1p1f1,v20181218
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,v20200212,r1i1p1f1,v20200212
BCC,BCC-CSM2-MR,r1i1p1f1,gn,v20190429,r1i1p1f1,v20181015
BCC,BCC-ESM1,r1i1p1f1,gn,v20181129,r1i1p1f1,v20181218
CAMS,CAMS-CSM1-0,r1i1p1f1,gn,v20190708,r1i1p1f1,v20190729
CAS,CAS-ESM2-0,r1i1p1f1,gn,v20200306,r1i1p1f1,v20200307
NCAR,CESM2,r1i1p1f1,gr,v20190308,r1i1p1f1,v20190320
NCAR,CESM2-FV2,r1i1p1f1,gr,v20191120,r1i1p1f1,v20191120
NCAR,CESM2-WACCM,r1i1p1f1,gr,v20190808,r1i1p1f1,v20190320
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gr,v20191120,r1i1p1f1,v20191120
THU,CIESM,r1i1p1f1,gn,v20200220,r1i1p1f1,v20200220
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,v20200616,r1i1p1f1,v20200616
CNRM-CERFACS,CNRM-CM6-1,r1i1p1f2,gn,v20180917,r1i1p1f2,v20180814
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,v20191021,r1i1p1f2,v20191021
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,v20181206,r1i1p1f2,v20181115
CCCma,CanESM5,r1i1p1f1,gn,v20190429,r1i1p1f1,v20190429
CCCma,CanESM5-CanOE,r1i1p2f1,gn,v20190429,r1i1p2f1,v20190429
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,v20190826,r1i1p1f1,v20191007
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,v20191204,r1i1p1f1,v20191028
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,v20200127,r1i1p1f1,v20200128
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,v20200310,r1i1p1f1,v20200312
EC-Earth-Consortium,EC-Earth3-Veg,r1i1p1f1,gn,v20200225,r1i1p1f1,v20200226
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,v20200217,r1i1p1f1,v20200213
CAS,FGOALS-f3-L,r1i1p1f1,gn,v20191007,r1i1p1f1,v20191028
CAS,FGOALS-g3,r1i1p1f1,gn,v20191106,r1i1p1f1,v20191125
NOAA-GFDL,GFDL-CM4,r1i1p1f1,gr,v20180701,r1i1p1f1,v20180701
NASA-GISS,GISS-E2-1-G,r1i1p1f1,gn,v20180827,r1i1p1f1,v20180824
NASA-GISS,GISS-E2-1-G-CC,r1i1p1f1,gn,v20190815,r1i1p1f1,v20190815
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,v20190403,r1i1p1f1,v20190410
MOHC,HadGEM3-GC31-LL,r1i1p1f3,gn,v20190624,r1i1p1f1,v20190628
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,v20191207,r1i1p1f1,v20191204
INM,INM-CM4-8,r1i1p1f1,gr1,v20190530,r1i1p1f1,v20190605
INM,INM-CM5-0,r1i1p1f1,gr1,v20190610,r1i1p1f1,v20190619
IPSL,IPSL-CM6A-LR,r1i1p1f1,gn,v20180803,r1i1p1f1,v20200326
MIROC,MIROC-ES2L,r1i1p1f2,gr1,v20200731,r1i1p1f2,v20200731
MIROC,MIROC6,r1i1p1f1,gn,v20181212,r1i1p1f1,v20181212
HAMMOZ-Consortium,MPI-ESM-1-2-HAM,r1i1p1f1,gn,v20190627,r1i1p1f1,v20190627
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,v20190710,r1i1p1f1,v20190710
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,v20190710,r1i1p1f1,v20190710
MRI,MRI-ESM2-0,r1i1p1f1,gr,v20191205,r1i1p1f1,v20191224
NUIST,NESM3,r1i1p1f1,gn,v20190703,r1i1p1f1,v20190704
NCC,NorCPM1,r1i1p1f1,gn,v20190914,r1i1p1f1,v20190914
NCC,NorESM2-LM,r1i1p1f1,gn,v20190815,r1i1p1f1,v20190920
NCC,NorESM2-MM,r1i1p1f1,gn,v20191108,r1i1p1f1,v20191108
SNU,SAM0-UNICON,r1i1p1f1,gn,v20190323,r1i1p1f1,v20190910
MOHC,UKESM1-0-LL,r1i1p1f2,gn,v20190627,r1i1p1f2,v20190827
