Center,Model,Ensemble,Grid,Version
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,v20191108
IPSL,IPSL-CM6A-LR,r1i1p1f1,gn,v20180803
HAMMOZ-Consortium,MPI-ESM-1-2-HAM,r1i1p1f1,gn,v20190627
CAS,FGOALS-g3,r1i1p1f1,gn,v20191106
NCC,NorESM2-MM,r1i1p1f1,gn,v20191108
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,v20190710
INM,INM-CM5-0,r1i1p1f1,gr1,v20190610
MRI,MRI-ESM2-0,r1i1p1f1,gr,v20191205
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,v20190710
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,v20200310
BCC,BCC-ESM1,r1i1p1f1,gn,v20181129
AWI,AWI-CM-1-1-MR,r1i1p1f1,gn,v20181218
CAMS,CAMS-CSM1-0,r1i1p1f1,gn,v20190708
BCC,BCC-CSM2-MR,r1i1p1f1,gn,v20190429
MIROC,MIROC6,r1i1p1f1,gn,v20181212
NCC,NorESM2-LM,r1i1p1f1,gn,v20190815
NCAR,CESM2,r1i1p1f1,gr,v20190308
INM,INM-CM4-8,r1i1p1f1,gr1,v20190530
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,v20191115
NCAR,CESM2-WACCM,r1i1p1f1,gr,v20190808
CCCma,CanESM5,r1i1p1f1,gn,v20190429
EC-Earth-Consortium,EC-Earth3-Veg,r1i1p1f1,gn,v20200225
