Center,Model,Ensemble,Grid,historical_Version,piControl_Version,ssp585_Version
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,v20200616,v20200616,v20200622
CAMS,CAMS-CSM1-0,r1i1p1f1,gn,v20190708,v20190729,v20190708
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,v20191108,v20191112,v20191108
INM,INM-CM5-0,r1i1p1f1,gr1,v20190610,v20190619,v20190724
INM,INM-CM4-8,r1i1p1f1,gr1,v20190530,v20190605,v20190603
THU,CIESM,r1i1p1f1,gn,v20200220,v20200220,v20200220
MIROC,MIROC6,r1i1p1f1,gn,v20181212,v20181212,v20190627
NUIST,NESM3,r1i1p1f1,gn,v20190703,v20190704,v20190731
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,v20191115,v20191214,v20191115
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,v20200310,v20200312,v20200310
NCC,NorESM2-LM,r1i1p1f1,gn,v20190815,v20190920,v20191108
CCCma,CanESM5,r1i1p1f1,gn,v20190429,v20190429,v20190429
NCAR,CESM2-WACCM,r1i1p1f1,gr,v20190808,v20190320,v20200702
NCAR,CESM2,r1i1p1f1,gr,v20190308,v20190320,v20190730
IPSL,IPSL-CM6A-LR,r1i1p1f1,gn,v20180803,v20200326,v20190903
AWI,AWI-CM-1-1-MR,r1i1p1f1,gn,v20181218,v20181218,v20181218
BCC,BCC-CSM2-MR,r1i1p1f1,gn,v20190429,v20181015,v20190429
NCC,NorESM2-MM,r1i1p1f1,gn,v20191108,v20191108,v20191108
MRI,MRI-ESM2-0,r1i1p1f1,gr,v20191205,v20191224,v20200120
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,v20190710,v20190710,v20190710
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,v20190710,v20190710,v20190710
EC-Earth-Consortium,EC-Earth3-Veg,r1i1p1f1,gn,v20200225,v20200226,v20200225
CAS,FGOALS-g3,r1i1p1f1,gn,v20191106,v20191125,v20191229
