Center,Model,Ensemble,Grid,Version
MIROC,MIROC6,r1i1p1f1,gm,v20200130
NCC,NorESM2-LM,r1i1p1f1,gm,v20190815
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,v20190710
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,v20191108
NCC,NorESM2-MM,r1i1p1f1,gm,v20191108
IPSL,IPSL-CM6A-LR,r1i1p1f1,gn,v20180803
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,v20190710
CCCma,CanESM5,r1i1p1f1,gn,v20190429
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,v20191115
INM,INM-CM5-0,r1i1p1f1,gr1,v20190610
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,v20200310
HAMMOZ-Consortium,MPI-ESM-1-2-HAM,r1i1p1f1,gn,v20190627
EC-Earth-Consortium,EC-Earth3-Veg,r1i1p1f1,gn,v20200225
MRI,MRI-ESM2-0,r1i1p1f1,gm,v20191205
